,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE,Discount_Amount,CAR_AGE
637,TIGOR,XZ PLUS PETROL,Tata,CNG,2022,TN-87,Manual,1,60478,Chennai,14115,722000,768000,46000,1
638,NEXON,XM PETROL,Tata,Petrol,2018,TN-14,Manual,1,38334,Chennai,13705,701000,724000,23000,5
639,NEXON,XZA PLUS (O) PETROLAutomatic,Tata,Petrol,2020,TN-11,Automatic,2,42036,Chennai,17702,930000,1043000,113000,3
640,Tiago,XM PETROL,Tata,Petrol,2018,TN-48,Manual,1,69684,Chennai,8700,445000,445000,0,5
641,Go,T,Datsun,Petrol,2017,TN-25,Manual,3,38734,Chennai,5846,299000,307000,8000,6
642,Plus,T,Datsun,CNG,2016,TN-09,Manual,1,53184,Chennai,6999,358000,383000,25000,7
643,Go,T(O),Datsun,Petrol,2019,TN-85,Manual,2,46116,Chennai,7683,393000,444000,51000,4
644,Plus,T,Datsun,Petrol,2018,TN-18,Manual,1,25119,Chennai,7566,387000,402000,15000,5
645,Plus,A(O),Datsun,Petrol,2019,TN-04,Manual,1,71413,Chennai,7742,396000,425000,29000,4
646,Go,S,Datsun,Petrol,2016,TN-01,Manual,1,61126,Chennai,4946,253000,270000,17000,7
647,Go,A,Datsun,Petrol,2021,TN-14,Manual,1,14811,Chennai,7761,397000,404000,7000,2
648,Go,T (O),Datsun,Petrol,2018,TN-05,Manual,1,50995,Chennai,6471,331000,331000,0,5
649,Plus,T,Datsun,Petrol,2019,TN-85,Manual,2,62493,Chennai,9568,489400,519000,29600,4
650,Go,A,Datsun,Petrol,2019,TN-03,Manual,1,21614,Chennai,6100,312000,334000,22000,4
651,Plus,T,Datsun,Petrol,2018,TN-45,Manual,1,44542,Chennai,8094,414000,437000,23000,5
652,Go,T (O),Datsun,Petrol,2021,TN-12,Manual,1,49254,Chennai,7683,393000,458000,65000,2
653,Plus,T,Datsun,Petrol,2018,TN-09,Manual,1,14668,Chennai,8309,425000,469000,44000,5
654,Go,A Optional,Datsun,Petrol,2019,TN-77,Manual,1,85674,Chennai,7840,401000,528000,127000,4
