,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE
366,Swift,VXI,Maruti,Petrol,2011,KA-34,Manual,2,"96,278","Bellahalli, Bengaluru","₹6,843","3,50,000","3,57,000"
367,Baleno,DELTA PETROL 1.2,Maruti,Petrol,2017,KA-53,Manual,1,"84,684","Bellahalli, Bengaluru","₹9,853","5,04,000","5,46,000"
368,Ertiga,VDI,Maruti,Diesel,2013,KA-01,Manual,2,"88,808",Sonnappanahalli,"₹11,535","5,90,000","6,13,000"
369,Celerio,ZXI AMTAutomatic,Maruti,Petrol,2015,KA-05,Automatic,2,"66,113","Bellahalli, Bengaluru","₹9,032","4,62,000","4,62,000"
370,Ertiga,ZXI AT SHVSAutomatic,Maruti,Petrol,2019,KA-04,Automatic,2,"80,844","GT World Mall, Bengaluru","₹17,587","9,24,000","9,30,000"
371,Xing,GLS,Hyundai,Petrol,2014,KA-04,Manual,2,"74,682","Bellahalli, Bengaluru","₹6,315","3,23,000","3,51,000"
372,i20,MAGNA 1.4 CRDI,Hyundai,Diesel,2012,KA-53,Manual,2,"1,22,889","Bellahalli, Bengaluru","₹6,471","3,31,000","3,36,000"
373,Verna,FLUIDIC 1.6 CRDI EX,Hyundai,Diesel,2011,KA-03,Manual,2,"83,667","Bellahalli, Bengaluru","₹7,370","3,77,000","3,92,000"
374,i10,MAGNA 1.1,Hyundai,Petrol,2010,KA-41,Manual,3,"1,46,275",Sonnappanahalli,"₹4,066","2,08,000","2,23,000"
375,Verna,FLUIDIC 1.6 CRDI SX,Hyundai,Diesel,2013,KA-04,Manual,1,"54,178","Whitefield Main Road, Bhoruka Tech Park, Benga","₹11,847","6,06,000","6,33,000"
376,Eon,MAGNA PLUS,Hyundai,Petrol,2018,KA-02,Manual,2,"86,198","Horamavu Agara Road, Bengaluru","₹5,806","2,97,000","3,76,000"
377,i20,MAGNA (O) 1.4 CRDI,Hyundai,Diesel,2012,KA-01,Manual,2,"64,958","Bellahalli, Bengaluru","₹6,921","3,54,000","3,66,000"
378,I20,MAGNA 1.2 MT,Hyundai,Petrol,2021,KA-05,Manual,1,"17,929","Whitefield Main Road, Bhoruka Tech Park, Benga","₹13,626","6,97,000","7,50,000"
379,NIOS,SPORTZ 1.2 KAPPA VTVT,Hyundai,Petrol,2022,KA-53,Manual,1,"10,346","Bellahalli, Bengaluru","₹13,626","6,97,000","7,40,000"
380,SANTRO,SPORTZ AMTAutomatic,Hyundai,Petrol,2020,KA-04,Automatic,1,"4,828","Whitefield Main Road, Bhoruka Tech Park, Benga","₹11,320","5,79,000","6,01,000"
381,i20,ASTA 1.2,Hyundai,Petrol,2014,KA-03,Manual,2,"66,491","Horamavu Agara Road, Bengaluru","₹9,052","4,63,000","5,06,000"
382,i20,MAGNA (O) 1.2,Hyundai,Petrol,2013,KA-05,Manual,1,"77,289","Horamavu Agara Road, Bengaluru","₹7,449","3,81,000","4,20,000"
383,i10,SPORTZ 1.2 KAPPA VTVT,Hyundai,Petrol,2015,KA-04,Manual,3,"33,499","GT World Mall, Bengaluru","₹7,722","3,95,000","4,55,000"
384,Creta,SX PLUS 1.6 PETROL,Hyundai,Petrol,2015,KA-05,Manual,2,"51,166","Bellahalli, Bengaluru","₹15,246","8,01,000","8,32,000"
385,I20,ASTA (O) 1.2 MT,Hyundai,Petrol,2021,KA-17,Manual,1,"27,652","Whitefield Main Road, Bhoruka Tech Park, Benga","₹17,112","8,99,000","8,99,000"
386,Verna,FLUIDIC 4S 1.6 VTVT S(O),Hyundai,Petrol,2015,KA-04,Manual,2,"95,193","Bellahalli, Bengaluru","₹11,280","5,77,000","5,83,000"
387,i20,ASTA 1.2,Hyundai,Petrol,2018,KA-53,Manual,2,"36,043","Hosur Road, Singasandra, Bengaluru","₹12,825","6,56,000","7,62,000"
388,Elantra,1.8 SX AT VTVTAutomatic,Hyundai,Petrol,2015,KA-51,Automatic,2,"76,567","Horamavu Agara Road, Bengaluru","₹12,317","6,30,000","6,79,000"
389,i20,ASTA 1.4 CRDI,Hyundai,Diesel,2018,KA-04,Manual,1,"72,131","Horamavu Agara Road, Bengaluru","₹13,783","7,05,000","7,94,000"
390,i10,ASTA AT 1.2 KAPPA VTVTAutomatic,Hyundai,Petrol,2015,KA-05,Automatic,1,"45,463","Bellahalli, Bengaluru","₹10,753","5,50,000","5,92,000"
391,Brio,S MT,Honda,Petrol,2012,KA-03,Manual,1,"19,326","Whitefield Main Road, Bhoruka Tech Park, Benga","₹7,155","3,66,000","4,02,000"
392,Jazz,1.2L I-VTEC V ATAutomatic,Honda,Petrol,2017,KA-05,Automatic,1,"24,574","GT World Mall, Bengaluru","₹13,900","7,11,000","7,74,000"
393,City,1.5L I-DTEC SV,Honda,Diesel,2014,KA-03,Manual,2,"1,21,514","Bellahalli, Bengaluru","₹9,443","4,83,000","5,27,000"
394,Amaze,1.2L I-VTEC VX,Honda,Petrol,2020,KA-53,Manual,2,"37,176","Bellahalli, Bengaluru","₹13,079","6,69,000","7,37,000"
395,Brio,S MT,Honda,Petrol,2015,KA-03,Manual,2,"22,262","Whitefield Main Road, Bhoruka Tech Park, Benga","₹7,879","4,03,000","4,34,000"
396,Jazz,1.2 VX I-VTECH,Honda,Petrol,2016,KA-01,Manual,1,"65,072","Bellahalli, Bengaluru","₹12,199","6,24,000","7,57,000"
397,Brio,S MT,Honda,Petrol,2015,KA-03,Manual,1,"65,394","Hosur Road, Singasandra, Bengaluru","₹7,273","3,72,000","4,80,000"
398,Amaze,1.5L I-DTEC S,Honda,Diesel,2013,KA-01,Manual,2,"91,732","Horamavu Agara Road, Bengaluru","₹7,390","3,78,000","3,86,000"
399,City,1.5L I-VTEC SV CVTAutomatic,Honda,Petrol,2015,KA-03,Automatic,1,"94,947","GT World Mall, Bengaluru","₹11,476","5,87,000","6,49,000"
400,City,1.5L I-VTEC V MT,Honda,Petrol,2017,KA-03,Manual,3,"56,253","Bellahalli, Bengaluru","₹13,020","6,66,000","7,20,000"
401,City,1.5L I-VTEC VX,Honda,Petrol,2018,KA-53,Manual,2,"31,862","Bellahalli, Bengaluru","₹16,160","8,49,000","9,27,000"
402,Brio,S MT,Honda,Petrol,2013,KA-03,Manual,2,"64,742","Bellahalli, Bengaluru","₹6,100","3,12,000","3,66,000"
403,City,1.5L I-VTEC VX,Honda,Petrol,2017,KA-30,Manual,2,"53,295","Horamavu Agara Road, Bengaluru","₹13,646","6,98,000","8,05,000"
404,BR-V,1.5L I-VTEC V CVTAutomatic,Honda,Petrol,2017,KA-53,Automatic,1,"95,728","Horamavu Agara Road, Bengaluru","₹15,503","7,93,000","8,57,000"
405,Amaze,1.2L I-VTEC V,Honda,Petrol,2018,KA-03,Manual,2,"51,569","Horamavu Agara Road, Bengaluru","₹11,163","5,71,000","6,10,000"
406,Amaze,1.2L I-VTEC S,Honda,Petrol,2018,KA-03,Manual,1,"62,061","Bellahalli, Bengaluru","₹10,792","5,52,000","5,95,000"
407,Jazz,1.2L I-VTEC VX,Honda,Petrol,2017,KA-03,Manual,1,"70,235","Horamavu Agara Road, Bengaluru","₹10,616","5,43,000","6,40,000"
408,City,1.5L I-DTEC SV,Honda,Diesel,2014,KA-19,Manual,2,"94,378","Bellahalli, Bengaluru","₹10,283","5,26,000","5,75,000"
409,City,1.5L I-VTEC V MT,Honda,Petrol,2016,KA-04,Manual,2,"58,808","Horamavu Agara Road, Bengaluru","₹12,727","6,51,000","7,98,000"
410,WR-V,1.5L I-DTEC VX MT,Honda,Diesel,2017,KA-53,Manual,1,"62,997","Garuda Mall, Magrath Road, Bengaluru","₹15,366","7,86,000","8,35,000"
411,Duster,RXS CVTAutomatic,Renault,Petrol,2018,KA-04,Automatic,1,"36,718","Hosur Road, Singasandra, Bengaluru","₹15,542","7,95,000","8,74,000"
412,Duster,85 PS RXE DIESEL,Renault,Diesel,2014,KA-02,Manual,3,"1,09,706","Horamavu Agara Road, Bengaluru","₹8,837","4,52,000","4,52,000"
413,Duster,RXS 85 PS,Renault,Diesel,2016,KA-05,Manual,2,"73,494","Bellahalli, Bengaluru","₹14,193","7,26,000","9,21,000"
414,Kiger,RXZ TURBO MT,Renault,Petrol,2021,KA-14,Manual,1,"27,839","Whitefield Main Road, Bhoruka Tech Park, Benga","₹15,093","7,72,000","9,30,000"
415,Kwid,RXT 1.0 (O),Renault,Petrol,2018,KA-50,Manual,2,"64,592","Hosur Road, Singasandra, Bengaluru","₹6,647","3,40,000","3,49,000"
416,Kwid,RXT 0.8 (O),Renault,Petrol,2016,KA-51,Manual,1,"66,707",Sonnappanahalli,"₹6,354","3,25,000","3,45,000"
417,Kwid,RXT 0.8,Renault,Petrol,2017,KA-51,Manual,1,"16,808","GT World Mall, Bengaluru","₹7,488","3,83,000","3,88,000"
418,Kwid,RXT 0.8,Renault,Petrol,2017,KA-08,Manual,1,"56,637","Whitefield Main Road, Bhoruka Tech Park, Benga","₹6,510","3,33,000","3,67,000"
419,TRIBER,RXZ,Renault,Petrol,2020,KA-51,Manual,1,"52,442","Horamavu Agara Road, Bengaluru","₹13,036","6,66,800","6,93,000"
420,Kiger,RXZ 1.0 MT,Renault,Petrol,2021,KA-04,Manual,1,"12,233","Hosur Road, Singasandra, Bengaluru","₹15,054","7,70,000","9,02,000"
421,Duster,85 PS RXL DIESEL,Renault,Diesel,2015,KA-51,Manual,1,"87,360","Bellahalli, Bengaluru","₹12,708","6,50,000","6,63,000"
422,Kwid,RXT 1.0 EASY-R  ATAutomatic,Renault,Petrol,2018,KA-53,Automatic,2,"74,133","GT World Mall, Bengaluru","₹7,370","3,77,000","4,38,000"
423,Kwid,CLIMBER 1.0 (O),Renault,Petrol,2020,KA-16,Manual,3,"43,285","Horamavu Agara Road, Bengaluru","₹8,641","4,42,000","5,15,000"
424,Duster,RXS CVTAutomatic,Renault,Petrol,2018,KA-53,Automatic,1,"56,443","Bellahalli, Bengaluru","₹15,054","7,70,000","8,37,000"
425,Kwid,1.0 CLIMBER OPT,Renault,Petrol,2021,KA-50,Manual,1,"41,968","Bellahalli, Bengaluru","₹9,267","4,74,000","5,30,000"
426,Pulse,RX L DIESEL,Renault,Diesel,2014,KA-51,Manual,1,"83,271","Bellahalli, Bengaluru","₹6,569","3,36,000","3,71,000"
427,Kwid,RXT 1.0 AMT (O)Automatic,Renault,Petrol,2018,KA-17,Automatic,2,"72,220","Bellahalli, Bengaluru","₹7,625","3,90,000","3,90,000"
428,Duster,RXL PETROL,Renault,Petrol,2017,KA-41,Manual,1,"38,520","Bellahalli, Bengaluru","₹14,760","7,55,000","8,26,000"
429,Kwid,RXT 1.0 (O),Renault,Petrol,2019,KA-50,Manual,1,"26,039","Hosur Road, Singasandra, Bengaluru","₹8,172","4,18,000","4,63,000"
430,Duster,RXZ 1.5 PETROL MT,Renault,Petrol,2020,KA-03,Manual,2,"20,600","Hosur Road, Singasandra, Bengaluru","₹18,082","9,50,000","11,13,000"
431,Tiago,XZ PETROL,Tata,Petrol,2016,KA-41,Manual,1,"43,179","Bellahalli, Bengaluru","₹9,580","4,90,000","5,48,000"
432,Tiago,XZA PLUS PETROLAutomatic,Tata,Petrol,2021,KA-51,Automatic,1,"35,683",Sonnappanahalli,"₹13,177","6,74,000","7,19,000"
433,Bolt,XM REVOTRON,Tata,Petrol,2015,KA-51,Manual,3,"58,472",Sonnappanahalli,"₹6,197","3,17,000","3,57,000"
434,Harrier,XZ PLUS 2.0L DUAL TONE,Tata,Diesel,2021,KA-03,Manual,1,"27,068","Garuda Mall, Magrath Road, Bengaluru","₹38,011","19,97,000","19,97,000"
435,Tiago,XE PETROL,Tata,Petrol,2016,KA-02,Manual,1,"1,01,386","Bellahalli, Bengaluru","₹6,843","3,50,000","3,73,000"
436,Tiago,XZA PETROLAutomatic,Tata,Petrol,2017,KA-02,Automatic,1,"45,408","GT World Mall, Bengaluru","₹9,110","4,66,000","5,12,000"
437,NEXON,XZ+ 1.5,Tata,Diesel,2019,KA-05,Manual,1,"67,271","Garuda Mall, Magrath Road, Bengaluru","₹15,627","8,21,000","10,10,000"
438,Tiago,XE PETROL,Tata,Petrol,2017,KA-04,Manual,1,"38,063","Hosur Road, Singasandra, Bengaluru","₹8,016","4,10,000","4,57,000"
439,ALTROZ,XE PETROL,Tata,Petrol,2021,KA-51,Manual,1,"29,964","Whitefield Main Road, Bhoruka Tech Park, Benga","₹12,786","6,54,000","6,71,000"
440,Tiago,XZ PETROL,Tata,Petrol,2018,KA-41,Manual,2,"36,692",Sonnappanahalli,"₹9,130","4,67,000","5,16,000"
441,TIGOR,XM PETROL,Tata,Petrol,2018,KA-25,Manual,1,"55,652","Hosur Road, Singasandra, Bengaluru","₹9,521","4,87,000","5,21,000"
442,Tiago,XZ PETROL,Tata,Petrol,2016,KA-05,Manual,2,"77,017","Horamavu Agara Road, Bengaluru","₹7,912","4,04,700","4,17,000"
443,Zest,XMA F-TRONIC DIESELAutomatic,Tata,Diesel,2015,KA-05,Automatic,1,"72,004","Hosur Road, Singasandra, Bengaluru","₹8,739","4,47,000","5,28,000"
444,Tiago,XZ PETROL,Tata,Petrol,2018,KA-51,Manual,2,"38,272","Bellahalli, Bengaluru","₹9,247","4,73,000","5,29,000"
445,NEXON,XZA PLUS DIESELAutomatic,Tata,Diesel,2021,KA-17,Automatic,1,"32,154","Bellahalli, Bengaluru","₹18,653","9,80,000","10,30,000"
446,ALTROZ,XZ PETROL,Tata,Petrol,2020,KA-51,Manual,1,"45,295","Whitefield Main Road, Bhoruka Tech Park, Benga","₹14,760","7,55,000","8,24,000"
447,NEXON,XZ PLUS PETROL,Tata,Petrol,2023,KA-41,Manual,1,"19,034","Garuda Mall, Magrath Road, Bengaluru","₹19,910","10,46,000","11,26,000"
448,Tiago,XZ PETROL,Tata,Petrol,2016,KA-03,Manual,2,"78,959","Hosur Road, Singasandra, Bengaluru","₹8,934","4,57,000","4,99,000"
449,NEXON,XZA PLUS DIESELAutomatic,Tata,Diesel,2019,KA-53,Automatic,2,"57,898",Sonnappanahalli,"₹17,074","8,97,000","9,05,000"
450,Zest,XMA F-TRONIC DIESELAutomatic,Tata,Diesel,2015,KA-02,Automatic,1,"1,16,242","Hosur Road, Singasandra, Bengaluru","₹8,348","4,27,000","4,67,000"
451,Go,A,Datsun,Petrol,2019,KA-50,Manual,2,"26,250","Bellahalli, Bengaluru","₹5,533","2,83,000","3,10,000"
452,Go,T(O) 1.0,Datsun,Petrol,2017,KA-05,Manual,1,"46,031","Hosur Road, Singasandra, Bengaluru","₹5,435","2,78,000","3,35,000"
453,Go,T (O),Datsun,Petrol,2016,KA-01,Manual,1,"40,818","Bellahalli, Bengaluru","₹4,946","2,53,000","2,65,000"
454,Go,S 1.0 AMTAutomatic,Datsun,Petrol,2018,KA-05,Automatic,1,"38,396","Hosur Road, Singasandra, Bengaluru","₹6,784","3,47,000","3,81,000"
455,Go,T(O) 1.0 AMTAutomatic,Datsun,Petrol,2020,KA-01,Automatic,1,"4,512","Hosur Road, Singasandra, Bengaluru","₹10,088","5,16,000","5,22,000"
456,Go,T(O) 1.0,Datsun,Petrol,2017,KA-01,Manual,1,"33,357","Bellahalli, Bengaluru","₹6,295","3,22,000","3,41,000"
457,Go,1.0 T(O),Datsun,Petrol,2018,KA-19,Manual,1,"6,488","Horamavu Agara Road, Bengaluru","₹6,835","3,49,599","3,49,599"
458,Go,T,Datsun,Petrol,2014,KA-53,Manual,1,"65,504","GT World Mall, Bengaluru","₹5,251","2,68,599","2,79,699"
459,Go,T,Datsun,Petrol,2014,KA-51,Manual,1,"78,416","Bellahalli, Bengaluru","₹4,624","2,36,499","2,36,499"
460,Go,T (O),Datsun,Petrol,2021,KA-09,Manual,1,"1,828","Horamavu Agara Road, Bengaluru","₹8,798","4,49,999","4,49,999"
461,Polo,COMFORTLINE 1.2L PETROL,Volkswagen,Petrol,2010,KA-03,Manual,2,"52,771","Bellahalli, Bengaluru","₹6,667","3,41,000","3,54,000"
462,Ameo,HIGHLINE1.2L,Volkswagen,Petrol,2016,KA-51,Manual,2,"1,42,245","Horamavu Agara Road, Bengaluru","₹8,387","4,29,000","4,64,000"
463,Polo,COMFORTLINE 1.2L,Volkswagen,Petrol,2016,KA-05,Manual,3,"56,550","Bellahalli, Bengaluru","₹10,498","5,37,000","5,70,000"
464,Polo,COMFORTLINE 1.5L,Volkswagen,Diesel,2017,KA-53,Manual,3,"69,062","Bellahalli, Bengaluru","₹12,708","6,50,000","6,72,000"
465,Polo,GT TSI ATAutomatic,Volkswagen,Petrol,2016,KA-09,Automatic,2,"96,698",Sonnappanahalli,"₹13,724","7,02,000","7,38,000"
466,Ameo,HIGHLINE DSG 1.5 DIESEL Automatic,Volkswagen,Diesel,2017,KA-41,Automatic,2,"78,752","Bellahalli, Bengaluru","₹10,909","5,58,000","6,40,000"
467,Ameo,HIGHLINE1.5L,Volkswagen,Diesel,2016,KA-05,Manual,1,"80,155",Sonnappanahalli,"₹10,655","5,45,000","5,77,000"
468,Ameo,HIGHLINE1.2L PLUS 16 ALLOY,Volkswagen,Petrol,2018,KA-04,Manual,1,"35,791","Hosur Road, Singasandra, Bengaluru","₹12,141","6,21,000","6,59,000"
469,Ameo,HIGHLINE1.2L,Volkswagen,Petrol,2017,KA-05,Manual,1,"59,897",Sonnappanahalli,"₹10,753","5,50,000","6,36,000"
470,Polo,GT TSI ATAutomatic,Volkswagen,Petrol,2016,KA-06,Automatic,2,"1,13,800","Bellahalli, Bengaluru","₹14,057","7,19,000","7,25,000"
471,VIRTUS,TOPLINE TSI 1.0 ATAutomatic,Volkswagen,Petrol,2022,KA-09,Automatic,1,"11,880","Bellahalli, Bengaluru","₹30,683","16,12,000","17,18,000"
472,Vento,HIGHLINE PETROL ATAutomatic,Volkswagen,Petrol,2016,KA-03,Automatic,1,"71,642","GT World Mall, Bengaluru","₹13,275","6,79,000","8,28,000"
473,Ameo,HIGHLINE PLUS 1.5L AT 16 ALLOYAutomatic,Volkswagen,Diesel,2017,KA-25,Automatic,2,"87,012","Bellahalli, Bengaluru","₹11,535","5,90,000","6,61,000"
474,TAIGUN,GT 1.5 TSI MT,Volkswagen,Petrol,2022,KA-55,Manual,1,"16,255","Garuda Mall, Magrath Road, Bengaluru","₹28,399","14,92,000","15,75,000"
475,Vento,HIGHLINE TDI ATAutomatic,Volkswagen,Diesel,2015,KA-04,Automatic,1,"75,377","Horamavu Agara Road, Bengaluru","₹13,763","7,04,000","8,74,000"
476,Polo,HIGHLINE DIESEL,Volkswagen,Diesel,2014,KA-53,Manual,2,"1,00,761","Hosur Road, Singasandra, Bengaluru","₹12,375","6,33,000","6,80,000"
477,Vento,HIGHLINE PETROL ATAutomatic,Volkswagen,Petrol,2016,KA-01,Automatic,2,"48,079","Bellahalli, Bengaluru","₹14,584","7,46,000","8,01,000"
478,Vento,HIGHLINE PETROL ATAutomatic,Volkswagen,Petrol,2016,KA-09,Automatic,2,"50,816","GT World Mall, Bengaluru","₹13,998","7,16,000","8,13,000"
479,TAIGUN,TOPLINE 1.0 TSI MT,Volkswagen,Petrol,2022,KA-03,Manual,1,"5,356","Garuda Mall, Magrath Road, Bengaluru","₹29,807","15,66,000","16,90,000"
480,Vento,HIGHLINE PETROL ATAutomatic,Volkswagen,Petrol,2016,KA-04,Automatic,1,"80,842","Bellahalli, Bengaluru","₹15,284","8,03,000","8,60,000"
481,FREESTYLE,TREND 1.5 DIESEL,Ford,Diesel,2018,KA-03,Manual,2,"87,777","Bellahalli, Bengaluru","₹10,792","5,52,000","6,10,000"
482,Ecosport,TITANIUM + 1.5L DIESEL,Ford,Diesel,2018,KA-04,Manual,2,"46,250","Horamavu Agara Road, Bengaluru","₹15,608","8,20,000","8,20,000"
483,Ecosport,TITANIUM + 1.5L PETROL,Ford,Petrol,2020,KA-02,Manual,1,"14,618","Garuda Mall, Magrath Road, Bengaluru","₹17,892","9,40,000","10,10,000"
484,Ecosport,TREND+ 1.5L DIESEL,Ford,Diesel,2018,KA-03,Manual,3,"36,261","GT World Mall, Bengaluru","₹14,115","7,22,000","7,45,000"
485,Ecosport,TITANIUM 1.5L PETROL,Ford,Petrol,2016,KA-03,Manual,2,"19,397","Garuda Mall, Magrath Road, Bengaluru","₹12,923","6,61,000","7,20,000"
486,Ecosport,TITANIUM 1.5L PETROL ATAutomatic,Ford,Petrol,2015,KA-05,Automatic,2,"42,710","Bellahalli, Bengaluru","₹12,414","6,35,000","6,78,000"
487,Ecosport,TREND 1.5L PETROL,Ford,Petrol,2017,KA-36,Manual,1,"80,390","Bellahalli, Bengaluru","₹11,867","6,07,000","6,58,000"
488,Ecosport,TITANIUM + 1.5L PETROL,Ford,Petrol,2018,KA-02,Manual,2,"6,492","Garuda Mall, Magrath Road, Bengaluru","₹17,568","9,23,000","9,69,000"
489,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2016,KA-09,Manual,2,"74,380","Horamavu Agara Road, Bengaluru","₹12,708","6,50,000","6,84,000"
490,Ecosport,TITANIUM + 1.5L PETROL ATAutomatic,Ford,Petrol,2020,KA-04,Automatic,1,"31,724","Garuda Mall, Magrath Road, Bengaluru","₹18,311","9,62,000","11,93,000"
491,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2018,KA-05,Manual,2,"35,922","Bellahalli, Bengaluru","₹15,646","8,22,000","8,54,000"
492,Ecosport,TITANIUM + 1.5L PETROL,Ford,Petrol,2018,KA-03,Manual,1,"36,916","Bellahalli, Bengaluru","₹15,874","8,34,000","8,61,000"
493,Ecosport,TITANIUM 1.5L PETROL ATAutomatic,Ford,Petrol,2016,KA-51,Automatic,2,"49,068","Garuda Mall, Magrath Road, Bengaluru","₹13,646","6,98,000","7,46,000"
494,Ecosport,TITANIUM 1.5L PETROL ATAutomatic,Ford,Petrol,2017,KA-05,Automatic,2,"85,126","Garuda Mall, Magrath Road, Bengaluru","₹13,685","7,00,000","7,67,000"
495,Ecosport,TITANIUM + 1.5L PETROL ATAutomatic,Ford,Petrol,2018,KA-51,Automatic,2,"12,623","Garuda Mall, Magrath Road, Bengaluru","₹17,131","9,00,000","9,18,000"
496,Ecosport,TITANIUM 1.5L PETROL ATAutomatic,Ford,Petrol,2018,KA-04,Automatic,2,"43,481","Garuda Mall, Magrath Road, Bengaluru","₹15,284","8,03,000","9,58,000"
497,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2017,KA-03,Manual,1,"48,743","Garuda Mall, Magrath Road, Bengaluru","₹15,112","7,73,000","8,48,000"
498,Ecosport,AMBIENTE 1.5L PETROL,Ford,Petrol,2017,HR-13,Manual,2,"40,031",Sonnappanahalli,"₹12,903","6,60,000","6,60,000"
499,FREESTYLE,TITANIUM 1.5 DIESEL,Ford,Diesel,2020,KA-19,Manual,1,"35,642","Bellahalli, Bengaluru","₹15,601","7,98,000","8,13,000"
500,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2017,KA-02,Manual,2,"46,860","Hosur Road, Singasandra, Bengaluru","₹15,034","7,69,000","7,95,000"
501,SELTOS,HTK PLUS 1.5,KIA,Petrol,2020,KA-07,Manual,2,"44,431","Bellahalli, Bengaluru","₹20,290","10,66,000","10,66,000"
502,SELTOS,GTX + AT PETROLAutomatic,KIA,Petrol,2019,KA-51,Automatic,1,"38,093","Garuda Mall, Magrath Road, Bengaluru","₹29,484","15,49,000","18,81,000"
503,CARENS,LUXURY PLUS 1.4 PETROL DCT 6 STRAutomatic,KIA,Petrol,2022,KA-35,Automatic,1,"22,767","Garuda Mall, Magrath Road, Bengaluru","₹32,491","17,07,000","17,95,000"
504,SELTOS,HTX 1.5 PETROL,KIA,Petrol,2022,KA-05,Manual,1,"10,845","Garuda Mall, Magrath Road, Bengaluru","₹26,933","14,15,000","14,92,000"
505,SELTOS,GTK 1.4 PETROL,KIA,Petrol,2019,KA-04,Manual,1,"91,486",Sonnappanahalli,"₹21,432","11,26,000","11,84,000"
506,SONET,GTX PLUS 1.0 IMT,KIA,Petrol,2021,KA-03,Manual,1,"16,626","Garuda Mall, Magrath Road, Bengaluru","₹22,574","11,86,000","12,64,000"
507,SONET,GTX PLUS 1.5 ATAutomatic,KIA,Diesel,2020,KA-51,Automatic,1,"34,990","Garuda Mall, Magrath Road, Bengaluru","₹25,030","13,15,000","13,87,000"
508,SELTOS,HTK PLUS 1.5 DIESEL,KIA,Diesel,2020,KA-51,Manual,2,"11,840","Garuda Mall, Magrath Road, Bengaluru","₹25,601","13,45,000","14,65,000"
509,SELTOS,HTX PLUS 1.5 DIESEL,KIA,Diesel,2021,KA-05,Manual,1,"52,779","Garuda Mall, Magrath Road, Bengaluru","₹28,170","14,80,000","15,61,000"
510,SELTOS,HTX PLUS 1.5 DIESEL,KIA,Diesel,2021,KA-03,Manual,1,"47,344","Garuda Mall, Magrath Road, Bengaluru","₹28,456","14,95,000","15,75,000"
511,SONET,HTX PLUS 1.0 IMT,KIA,Petrol,2021,KA-51,Manual,1,"36,352","Garuda Mall, Magrath Road, Bengaluru","₹21,984","11,55,000","12,19,000"
512,SONET,GTX PLUS 1.0 IMT,KIA,Petrol,2022,KA-03,Manual,1,"7,616","Garuda Mall, Magrath Road, Bengaluru","₹24,801","13,03,000","13,71,000"
513,SELTOS,X LINE 1.4 PETROL DCTAutomatic,KIA,Petrol,2021,KA-20,Automatic,1,"81,321","Whitefield Main Road, Bhoruka Tech Park, Benga","₹30,327","15,93,300","16,98,000"
514,SELTOS,HTK PLUS 1.5,KIA,Petrol,2021,KA-06,Manual,1,"17,329","Whitefield Main Road, Bhoruka Tech Park, Benga","₹20,633","10,84,000","11,53,000"
515,SELTOS,HTK PLUS 1.5 DIESEL,KIA,Diesel,2020,KA-51,Manual,1,"39,377","Garuda Mall, Magrath Road, Bengaluru","₹24,249","12,74,000","12,87,000"
516,SELTOS,GTK 1.4 PETROL,KIA,Petrol,2019,KA-41,Manual,1,"36,307","Garuda Mall, Magrath Road, Bengaluru","₹22,567","11,85,600","12,58,000"
517,SELTOS,GTK 1.4 PETROL,KIA,Petrol,2019,KA-53,Manual,1,"42,345","Garuda Mall, Magrath Road, Bengaluru","₹22,574","11,86,000","12,41,000"
518,SELTOS,GTX 1.4 PETROL,KIA,Petrol,2019,KA-03,Manual,1,"28,117","Bellahalli, Bengaluru","₹25,924","13,62,000","14,19,000"
519,SELTOS,GTX 1.4 PETROL,KIA,Petrol,2019,KA-03,Manual,1,"38,723","Garuda Mall, Magrath Road, Bengaluru","₹24,116","12,67,000","13,14,000"
520,Rapid,ELEGANCE 1.6 TDI CR MT,Skoda,Diesel,2011,KA-03,Manual,2,"93,538",Sonnappanahalli,"₹7,449","3,81,000","3,81,000"
521,Rapid,1.5 TDI MT AMBITION,Skoda,Diesel,2017,KA-52,Manual,2,"48,960","Whitefield Main Road, Bhoruka Tech Park, Benga","₹14,682","7,51,000","8,63,000"
522,Kodiaq,STYLE 2.0 TDI 4X4 ATAutomatic,Skoda,Diesel,2017,KA-01,Automatic,2,"89,723","Bellahalli, Bengaluru","₹40,181","21,11,000","21,32,000"
523,Rapid,1.5 TDI CR ELEGANCE ATAutomatic,Skoda,Diesel,2015,KA-51,Automatic,1,"1,07,208","Bellahalli, Bengaluru","₹9,853","5,04,000","5,36,000"
524,Rapid,AMBITION 1.6 MPI MT,Skoda,Petrol,2017,KA-01,Manual,2,"1,24,707","Bellahalli, Bengaluru","₹12,180","6,23,000","6,97,000"
525,Rapid,1.5 TDI AT  Ambition PlusAutomatic,Skoda,Diesel,2015,KA-01,Automatic,2,"93,424","Bellahalli, Bengaluru","₹10,127","5,18,000","5,54,000"
