,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE
97,Tiago,XZA PLUS DUAL TONE PETROLAutomatic,Tata,Petrol,2021,TS-07,Automatic,2,"15,606","Kompally, Hyderabad","₹15,073","7,71,000","7,77,000"
98,NEXON,XM DIESEL,Tata,Diesel,2022,TS-07,Manual,1,"11,254","Kompally, Hyderabad","₹18,596","9,77,000","10,17,000"
99,NEXON,XZ PLUS PETROL DUAL TONE,Tata,Petrol,2019,TS-09,Manual,2,"48,951","Attapur, Hyderabad","₹15,227","8,00,000","8,16,000"
100,Go,T,Datsun,Petrol,2017,TS-09,Manual,1,"72,762","Bachupally, Hyderabad","₹5,455","2,79,000","3,26,000"
101,Go,A,Datsun,Petrol,2019,TS-08,Manual,2,"32,329","Bachupally, Hyderabad","₹5,611","2,87,000","3,03,000"
102,Go,T,Datsun,Petrol,2016,TS-10,Manual,1,"67,429","Bachupally, Hyderabad","₹5,591","2,86,000","3,05,000"
103,Go,S 1.0 AMTAutomatic,Datsun,Petrol,2018,TS-09,Automatic,1,"34,657","Attapur, Hyderabad","₹6,139","3,14,000","3,21,000"
104,Go,T (O),Datsun,Petrol,2017,TS-07,Manual,1,"79,958","Kompally, Hyderabad","₹5,318","2,72,000","2,72,000"
105,Go,T,Datsun,Petrol,2017,TS-08,Manual,1,"85,298","Vanasthalipuram, Hyderabad","₹6,002","3,07,000","3,25,000"
106,Go,T(O),Datsun,Petrol,2021,TS-11,Manual,1,"24,021","Kompally, Hyderabad","₹9,052","4,63,000","4,72,000"
107,Go,S,Datsun,Petrol,2017,TS-07,Manual,1,"28,545","Kompally, Hyderabad","₹5,826","2,98,000","2,98,000"
108,Go,S 1.0 AMTAutomatic,Datsun,Petrol,2018,TS-09,Automatic,1,"16,097","Kompally, Hyderabad","₹6,960","3,56,000","3,63,000"
109,Go,T (O),Datsun,Petrol,2017,TS-08,Manual,2,"65,094","Bachupally, Hyderabad","₹5,337","2,73,000","2,86,000"
110,Go,T,Datsun,Petrol,2018,TS-08,Manual,1,"67,527","Kompally, Hyderabad","₹6,588","3,37,000","3,46,000"
111,Go,T,Datsun,Petrol,2018,TS-09,Manual,2,"62,680","Attapur, Hyderabad","₹7,312","3,74,000","3,74,000"
112,Go,S,Datsun,Petrol,2019,TS-07,Manual,2,"58,547","Attapur, Hyderabad","₹6,667","3,41,000","3,61,000"
113,Plus,T,Datsun,Petrol,2021,TS-25,Manual,1,"48,957","Vanasthalipuram, Hyderabad","₹10,987","5,62,000","5,96,000"
114,Plus,T,Datsun,Petrol,2018,TS-08,Manual,1,"45,955","Kompally, Hyderabad","₹7,976","4,08,000","4,26,000"
115,Go,T(O),Datsun,Petrol,2019,TS-22,Manual,1,"64,447","Kompally, Hyderabad","₹8,446","4,32,000","4,44,000"
116,Go,T (O),Datsun,Petrol,2018,TS-10,Manual,1,"21,411","Attapur, Hyderabad","₹6,530","3,34,000","3,34,000"
117,Plus,T,Datsun,Petrol,2019,TS-07,Manual,3,"62,674","Bachupally, Hyderabad","₹8,426","4,31,000","4,48,000"
118,Go,T (O),Datsun,Petrol,2020,TS-10,Manual,2,"19,205","Kompally, Hyderabad","₹7,859","4,02,000","4,37,000"
119,Go,1.0 T(O),Datsun,Petrol,2021,TS-08,Manual,1,"18,569","Kompally, Hyderabad","₹8,739","4,47,000","4,83,000"
120,Polo,HIGHLINE1.5L,Volkswagen,Diesel,2014,TS-07,Manual,1,"80,147","Kompally, Hyderabad","₹8,661","4,43,000","4,43,000"
121,Vento,COMFORTLINE DIESEL 1.6,Volkswagen,Diesel,2013,AP-10,Manual,2,"1,10,807","Bachupally, Hyderabad","₹7,351","3,76,000","3,95,000"
122,Ameo,COMFORTLINE 1.0L,Volkswagen,Petrol,2019,TS-09,Manual,1,"46,451","Kompally, Hyderabad","₹11,105","5,68,000","6,08,000"
123,Polo,COMFORTLINE PLUS 1.0L MPI,Volkswagen,Petrol,2021,TS-07,Manual,1,"30,088","Bachupally, Hyderabad","₹14,311","7,32,000","7,72,000"
124,Polo,HIGHLINE1.5L,Volkswagen,Diesel,2018,TS-08,Manual,2,"66,454","Vanasthalipuram, Hyderabad","₹14,389","7,36,000","7,58,000"
125,Ameo,COMFORTLINE 1.0L,Volkswagen,Petrol,2019,TS-07,Manual,1,"47,495","Vanasthalipuram, Hyderabad","₹11,359","5,81,000","6,23,000"
126,Polo,COMFORTLINE 1.0L TSI ATAutomatic,Volkswagen,Petrol,2021,TS-08,Automatic,1,"23,683","Kompally, Hyderabad","₹15,893","8,35,000","8,40,000"
127,Polo,HIGHLINE1.2L,Volkswagen,Petrol,2017,TS-10,Manual,1,"67,547","Vanasthalipuram, Hyderabad","₹13,079","6,69,000","6,94,000"
128,Ameo,HIGHLINE1.2L PLUS 16 ALLOY,Volkswagen,Petrol,2017,TS-09,Manual,1,"67,805","Kompally, Hyderabad","₹11,906","6,09,000","6,22,000"
129,Jetta,COMFORTLINE 1.4 TSI MT,Volkswagen,Petrol,2016,TS-09,Manual,1,"17,105","Kompally, Hyderabad","₹22,936","12,05,000","13,30,000"
130,Polo,1.0 GT TSI ATAutomatic,Volkswagen,Petrol,2021,TS-02,Automatic,2,"51,466","Attapur, Hyderabad","₹18,615","9,78,000","9,87,000"
131,Polo,COMFORTLINE 1.0L MPI,Volkswagen,Petrol,2019,TS-08,Manual,2,"1,01,306","Attapur, Hyderabad","₹11,417","5,84,000","6,49,000"
132,Ameo,HIGHLINE1.2L,Volkswagen,Petrol,2016,TS-08,Manual,1,"97,921","Bachupally, Hyderabad","₹10,244","5,24,000","5,61,000"
133,Vento,HIGHLINE 1.5 ATAutomatic,Volkswagen,Diesel,2018,TS-15,Automatic,1,"1,07,492","Kompally, Hyderabad","₹16,959","8,91,000","9,09,000"
134,Ameo,TRENDLINE 1.0L,Volkswagen,Petrol,2018,TS-09,Manual,2,"71,413","Bachupally, Hyderabad","₹10,420","5,33,000","5,61,000"
135,Vento,HIGHLINE PLUS 1.0L TSI,Volkswagen,Petrol,2020,TS-08,Manual,1,"45,949","Attapur, Hyderabad","₹19,224","10,10,000","11,33,000"
136,Polo,HIGHLINE PLUS 1.0L TSI ATAutomatic,Volkswagen,Petrol,2021,TS-08,Automatic,1,"55,053","Kompally, Hyderabad","₹17,607","9,25,000","9,44,000"
137,Polo,HIGHLINE1.2L,Volkswagen,Petrol,2012,AP-28,Manual,1,"85,408","Vanasthalipuram, Hyderabad","₹6,628","3,39,000","3,39,000"
138,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2016,TS-12,Manual,2,"1,01,124","Attapur, Hyderabad","₹9,971","5,10,000","5,56,000"
139,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2017,TS-09,Manual,1,"88,695","Kompally, Hyderabad","₹13,490","6,90,000","7,31,000"
140,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2017,TS-07,Manual,3,"89,576","Attapur, Hyderabad","₹12,962","6,63,000","7,04,000"
141,Ecosport,TREND 1.5L PETROL,Ford,Petrol,2017,TS-02,Manual,1,"66,159","Attapur, Hyderabad","₹13,118","6,71,000","7,09,000"
142,FREESTYLE,TITANIUM 1.5 DIESEL,Ford,Diesel,2020,TS-17,Manual,2,"38,278","Attapur, Hyderabad","₹13,822","7,07,000","7,42,000"
143,Ecosport,TITANIUM 1.5 SPORTS(SUNROOF) PETROL,Ford,Petrol,2021,TS-09,Manual,1,"57,250","Attapur, Hyderabad","₹17,778","9,34,000","10,11,000"
144,Aspire,TITANIUM 1.2 PETROL,Ford,Petrol,2021,TS-09,Manual,1,"29,246","Kompally, Hyderabad","₹13,822","7,07,000","7,46,000"
145,Ecosport,TITANIUM 1.5L PETROL,Ford,Petrol,2018,TS-09,Manual,2,"41,108","Kompally, Hyderabad","₹15,494","8,14,000","8,14,000"
146,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2017,TS-08,Manual,1,"1,16,988","Bachupally, Hyderabad","₹13,099","6,70,000","7,20,000"
147,Ecosport,TITANIUM + 1.5L DIESEL,Ford,Diesel,2018,TS-07,Manual,2,"1,01,721","Vanasthalipuram, Hyderabad","₹16,693","8,77,000","8,77,000"
148,FREESTYLE,FLAIR EDITION 1.2 PETROL,Ford,Petrol,2020,TS-08,Manual,1,"33,881","Kompally, Hyderabad","₹14,193","7,26,000","7,88,000"
149,Figo,TITANIUM BLU 1.5 DIESEL,Ford,Diesel,2020,TS-12,Manual,1,"51,625","Bachupally, Hyderabad","₹15,171","7,76,000","8,26,000"
150,FREESTYLE,TITANIUM PLUS 1.2 PETROL,Ford,Petrol,2019,TS-36,Manual,1,"44,591","Bachupally, Hyderabad","₹12,590","6,44,000","6,77,000"
151,Ecosport,TITANIUM + 1.5L DIESEL,Ford,Diesel,2019,TS-08,Manual,1,"1,08,632","Kompally, Hyderabad","₹16,560","8,70,000","8,87,000"
152,Ecosport,TITANIUM 1.5L PETROL,Ford,Petrol,2018,TS-07,Manual,1,"39,914","Kompally, Hyderabad","₹15,646","8,22,000","8,57,000"
153,Ecosport,TITANUIM + SE 1.5L PETROL,Ford,Petrol,2021,TS-09,Manual,1,"14,393","Kompally, Hyderabad","₹18,806","9,88,000","10,93,000"
154,SONET,HTK PLUS 1.0 IMT,KIA,Petrol,2021,TS-08,Manual,1,"19,136","Bachupally, Hyderabad","₹17,321","9,10,000","9,64,000"
155,SELTOS,HTX IVT 1.5 PETROLAutomatic,KIA,Petrol,2019,TS-15,Automatic,1,"78,396","Kompally, Hyderabad","₹23,640","12,42,000","13,47,000"
156,SELTOS,GTX PLUS 1.4 PETROL,KIA,Petrol,2020,TS-07,Manual,1,"61,289","Attapur, Hyderabad","₹26,514","13,93,000","14,55,000"
157,SELTOS,HTK PLUS 1.5 PETROL,KIA,Petrol,2021,TS-11,Manual,1,"8,844","Kompally, Hyderabad","₹24,562","12,90,399","12,90,399"
158,SELTOS,HTX AT PETROLAutomatic,KIA,Petrol,2020,TS-07,Automatic,1,"14,519","Kompally, Hyderabad","₹28,092","14,75,899","14,75,899"
159,SONET,HTK G1.2 MT,KIA,Petrol,2021,TS-07,Manual,1,"11,582","Kompally, Hyderabad","₹16,162","8,49,099","8,49,099"
160,SELTOS,HTX AT PETROLAutomatic,KIA,Petrol,2020,TS-08,Automatic,1,"32,451","Bachupally, Hyderabad","₹28,092","14,75,899","14,75,899"
161,SELTOS,HTK 1.5 PETROL,KIA,Petrol,2020,TS-09,Manual,1,"40,421","Bachupally, Hyderabad","₹19,948","10,48,000","10,48,000"
162,SELTOS,HTK PLUS AT 1.5 DIESELAutomatic,KIA,Diesel,2020,TS-07,Automatic,1,"58,259","Attapur, Hyderabad","₹24,759","13,00,749","14,60,599"
163,SELTOS,1.5 GTX+ ATAutomatic,KIA,Diesel,2019,TS-12,Automatic,1,"35,424","Bachupally, Hyderabad","₹32,230","16,93,299","16,93,299"
164,Rapid,AMBITION 1.6 MPI MT,Skoda,Petrol,2016,TS-11,Manual,1,"39,153","Attapur, Hyderabad","₹12,375","6,33,000","6,63,000"
165,Rapid,STYLE TSI,Skoda,Petrol,2021,TS-09,Manual,1,"15,504","Attapur, Hyderabad","₹18,806","9,88,000","10,07,000"
166,Rapid,STYLE TSI,Skoda,Petrol,2020,TS-08,Manual,2,"53,802","Vanasthalipuram, Hyderabad","₹18,596","9,77,000","9,97,000"
167,Rapid,STYLE 1.5 TDI,Skoda,Diesel,2017,TS-03,Manual,2,"1,15,276","Kompally, Hyderabad","₹14,858","7,60,000","7,92,000"
168,Rapid,STYLE 1.5 TDI,Skoda,Diesel,2016,TS-07,Manual,1,"1,00,615","Attapur, Hyderabad","₹14,799","7,57,000","7,94,000"
169,Rapid,1.0 AMBITION TSI ATAutomatic,Skoda,Petrol,2021,TS-10,Automatic,1,"20,821","Kompally, Hyderabad","₹21,604","11,34,999","11,34,999"
170,Rapid,1.0 AMBITION TSI MT,Skoda,Petrol,2020,TS-08,Manual,1,"33,012","Kompally, Hyderabad","₹16,415","8,62,399","8,62,399"
171,KUSHAQ,STYLE 1.5 TSI MT,Skoda,Petrol,2021,TS-07,Manual,1,"8,360","Kompally, Hyderabad","₹30,748","16,15,399","18,11,899"
172,Rapid,1.5 TDI AT STYLE PLUSAutomatic,Skoda,Diesel,2018,TS-07,Automatic,1,"33,945","Attapur, Hyderabad","₹17,643","9,26,899","9,26,899"
173,Rapid,AMBITION 1.6 MPFI MT,Skoda,Petrol,2012,AP-09,Manual,2,"91,301","Attapur, Hyderabad","₹6,622","3,38,699","3,38,699"
174,Compass,2.0 LONGITUDE (O),Jeep,Diesel,2017,TS-08,Manual,1,"89,906","Kompally, Hyderabad","₹20,785","10,92,000","12,16,000"
175,Compass,LIMITED PLUS PETROL ATAutomatic,Jeep,Petrol,2018,TS-07,Automatic,1,"42,064","Vanasthalipuram, Hyderabad","₹30,327","15,93,300","16,65,000"
176,Compass,LIMITED 2.0 DIESEL,Jeep,Diesel,2018,TS-13,Manual,2,"1,22,168","Kompally, Hyderabad","₹25,563","13,43,000","14,14,000"
177,Compass,LIMITED 2.0 DIESEL,Jeep,Diesel,2018,TS-08,Manual,1,"83,083","Bachupally, Hyderabad","₹26,648","14,00,000","14,55,000"
178,Compass,LIMITED 1.4 ATAutomatic,Jeep,Petrol,2018,TS-09,Automatic,1,"73,576","Attapur, Hyderabad","₹25,173","13,22,499","14,53,699"
179,Compass,2.0 SPORT PLUS,Jeep,Diesel,2019,TS-11,Manual,1,"77,390","Kompally, Hyderabad","₹25,677","13,49,000","15,02,000"
180,Compass,2.0 LIMITED,Jeep,Diesel,2018,TS-09,Manual,1,"58,864","Bachupally, Hyderabad","₹26,610","13,98,000","15,16,000"
181,Compass,LIMITED (O) 2.0,Jeep,Diesel,2018,AP-39,Manual,1,"50,579","Kompally, Hyderabad","₹27,866","14,64,000","15,92,000"
182,Compass,1.4 LIMITED PLUS ATAutomatic,Jeep,Petrol,2019,TS-07,Automatic,1,"23,457","Attapur, Hyderabad","₹31,178","16,38,000","16,90,000"
183,Compass,LIMITED PLUS PETROL ATAutomatic,Jeep,Petrol,2018,TS-09,Automatic,1,"60,183","Attapur, Hyderabad","₹30,340","15,94,000","16,47,000"
184,Wagon-R,ZXI 1.2 AMTAutomatic,Maruti,Petrol,2019,GJ-06,Automatic,1,"20,945","Naroda, Ahmedabad","₹10,831","5,54,000","5,95,000"
185,Estilo,VXI,Maruti,Petrol,2010,DL-3C,Manual,1,"82,224","Naroda, Ahmedabad","₹2,933","1,50,000","1,57,000"
